log_key,log_template,log_text,label
155,[<:NUM:>.<:NUM:>] out of line wait on bit+<:HEX:>/<:HEX:>,[.] out of line wait on bit+<:HEX:>/<:HEX:>,True
156,[<:NUM:>.<:NUM:>] nfs wait on request+<:HEX:>/<:HEX:> [nfs],[.] nfs wait on request+<:HEX:>/<:HEX:> [nfs],True
157,[<:NUM:>.<:NUM:>] nfs lock and join requests+<:HEX:>/<:HEX:> [nfs],[.] nfs lock and join requests+<:HEX:>/<:HEX:> [nfs],True
158,[<:NUM:>.<:NUM:>] nfs <:*:> <:*:> [nfs],[.] nfs   [nfs],True
159,[<:NUM:>.<:NUM:>] nfs <:*:> [nfs],[.] nfs  [nfs],True
160,[<:NUM:>.<:NUM:>] ? iov iter copy from user atomic+<:HEX:>/<:HEX:>,[.] ? iov iter copy from user atomic+<:HEX:>/<:HEX:>,True
161,[<:NUM:>.<:NUM:>] <:*:> <:*:> write+<:HEX:>/<:HEX:>,[.]   write+<:HEX:>/<:HEX:>,True
162,[<:NUM:>.<:NUM:>] do iter readv writev+<:HEX:>/<:HEX:>,[.] do iter readv writev+<:HEX:>/<:HEX:>,True
163,[<:NUM:>.<:NUM:>] vfs <:*:>,[.] vfs ,True
164,[<:NUM:>.<:NUM:>] do <:*:>,[.] do ,True
165,[<:NUM:>.<:NUM:>] x64 sys <:*:>,[.] x64 sys ,True
166,[<:NUM:>.<:NUM:>] Code: Bad RIP value.,[.] Code: Bad RIP value.,True
167,[<:NUM:>.<:NUM:>] R10: <:*:> R11: <:SEQ:> R12: <:*:>,[.] R10:  R11:  R12: ,True
168,[<:NUM:>.<:NUM:>] R13: <:*:> R14: <:*:> R15: <:*:>,[.] R13:  R14:  R15: ,True
169,[<:NUM:>.<:NUM:>] wait on page <:*:>,[.] wait on page ,True
170,[<:NUM:>.<:NUM:>] <:*:> <:*:> range+<:HEX:>/<:HEX:>,[.]   range+<:HEX:>/<:HEX:>,True
171,[<:NUM:>.<:NUM:>] file write and wait range+<:HEX:>/<:HEX:>,[.] file write and wait range+<:HEX:>/<:HEX:>,True
172,"WARNING:Unknown index <:NUM:> seen, reloading interface list","WARNING:Unknown index  seen, reloading interface list",False
173,debug: running <:*:> on mounted /dev/sda1,debug: running  on mounted /dev/sda1,False
174,daemon <:*:>,daemon ,False
175,cannot connect to <:IP:>:<:NUM:>: Network is unreachable [v8.<:NUM:>.<:NUM:> try https://www.rsyslog.com/e/<:NUM:> ],cannot connect to :: Network is unreachable [v8.. try https://www.rsyslog.com/e/ ],False
176,action 'action-<:NUM:>-builtin:omfwd' resumed (module 'builtin:omfwd') [v8.<:NUM:>.<:NUM:> try https://www.rsyslog.com/e/<:NUM:> ],action 'action--builtin:omfwd' resumed (module 'builtin:omfwd') [v8.. try https://www.rsyslog.com/e/ ],False
177,"[origin software=""rsyslogd"" swVersion=""<:NUM:>.<:NUM:>.<:NUM:>"" x-pid=""<:NUM:>"" x-info=""https://www.rsyslog.com""] exiting on signal <:NUM:>.","[origin software=""rsyslogd"" swVersion="".."" x-pid="""" x-info=""https://www.rsyslog.com""] exiting on signal .",False
178,imuxsock: Acquired UNIX socket '/run/systemd/journal/syslog' (fd <:NUM:>) from systemd. [v8.<:NUM:>.<:NUM:>],imuxsock: Acquired UNIX socket '/run/systemd/journal/syslog' (fd ) from systemd. [v8..],False
179,rsyslogd's <:*:> changed to <:NUM:>,rsyslogd's  changed to ,False
180,"imfile: on startup file <:*:> qemu.log' does not exist but is configured in static file monitor - this may indicate a misconfiguration. If the file appears at a later time, it will automatically be processed. Reason: No such file or directory [v8.<:NUM:>.<:NUM:>]","imfile: on startup file  qemu.log' does not exist but is configured in static file monitor - this may indicate a misconfiguration. If the file appears at a later time, it will automatically be processed. Reason: No such file or directory [v8..]",False
181,"[origin software=""rsyslogd"" swVersion=""<:NUM:>.<:NUM:>.<:NUM:>"" x-pid=""<:NUM:>"" x-info=""https://www.rsyslog.com""] start","[origin software=""rsyslogd"" swVersion="".."" x-pid="""" x-info=""https://www.rsyslog.com""] start",False
182,main.go:<:NUM:>: Loading profiles [/var/lib/snapd/apparmor/profiles/snap-confine.snapd.<:NUM:> /var/lib/snapd/apparmor/profiles/snap-confine.snapd.<:NUM:> /var/lib/snapd/apparmor/profiles/snap-update-ns.lxd /var/lib/snapd/apparmor/profiles/snap.lxd.activate /var/lib/snapd/apparmor/profiles/snap.lxd.benchmark /var/lib/snapd/apparmor/profiles/snap.lxd.buginfo /var/lib/snapd/apparmor/profiles/snap.lxd.check-kernel /var/lib/snapd/apparmor/profiles/snap.lxd.daemon /var/lib/snapd/apparmor/profiles/snap.lxd.hook.configure /var/lib/snapd/apparmor/profiles/snap.lxd.hook.install /var/lib/snapd/apparmor/profiles/snap.lxd.hook.remove /var/lib/snapd/apparmor/profiles/snap.lxd.lxc /var/lib/snapd/apparmor/profiles/snap.lxd.lxc-to-lxd /var/lib/snapd/apparmor/profiles/snap.lxd.lxd /var/lib/snapd/apparmor/profiles/snap.lxd.migrate /var/lib/snapd/apparmor/profiles/snap.lxd.user-daemon],main.go:: Loading profiles [/var/lib/snapd/apparmor/profiles/snap-confine.snapd. /var/lib/snapd/apparmor/profiles/snap-confine.snapd. /var/lib/snapd/apparmor/profiles/snap-update-ns.lxd /var/lib/snapd/apparmor/profiles/snap.lxd.activate /var/lib/snapd/apparmor/profiles/snap.lxd.benchmark /var/lib/snapd/apparmor/profiles/snap.lxd.buginfo /var/lib/snapd/apparmor/profiles/snap.lxd.check-kernel /var/lib/snapd/apparmor/profiles/snap.lxd.daemon /var/lib/snapd/apparmor/profiles/snap.lxd.hook.configure /var/lib/snapd/apparmor/profiles/snap.lxd.hook.install /var/lib/snapd/apparmor/profiles/snap.lxd.hook.remove /var/lib/snapd/apparmor/profiles/snap.lxd.lxc /var/lib/snapd/apparmor/profiles/snap.lxd.lxc-to-lxd /var/lib/snapd/apparmor/profiles/snap.lxd.lxd /var/lib/snapd/apparmor/profiles/snap.lxd.migrate /var/lib/snapd/apparmor/profiles/snap.lxd.user-daemon],False
183,"storehelpers.go:<:NUM:>: cannot refresh: snap has no updates available: ""core18"", ""core22"", ""lxd"", ""snapd""","storehelpers.go:: cannot refresh: snap has no updates available: ""core18"", ""core22"", ""lxd"", ""snapd""",False
184,main.go:<:NUM:>: Exiting on terminated signal.,main.go:: Exiting on terminated signal.,False
185,overlord.go:<:NUM:>: <:*:> state lock file,overlord.go::  state lock file,False
186,daemon.go:<:NUM:>: started snapd/<:NUM:>.<:NUM:>.<:NUM:> (series <:NUM:>; classic) ubuntu/<:NUM:>.<:NUM:> (amd64) linux/<:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>-generic.,daemon.go:: started snapd/.. (series ; classic) ubuntu/. (amd64) linux/..--generic.,False
187,daemon.go:<:NUM:>: adjusting startup timeout by <:*:> (pessimistic estimate of 30s plus 5s per snap),daemon.go:: adjusting startup timeout by  (pessimistic estimate of 30s plus 5s per snap),False
188,backends.go:<:NUM:>: AppArmor status: apparmor is enabled and all features are available,backends.go:: AppArmor status: apparmor is enabled and all features are available,False
189,Accepted password for <:*:> from <:IP:> port <:NUM:> ssh2,Accepted password for  from  port  ssh2,False
190,Received signal <:NUM:>; terminating.,Received signal ; terminating.,False
191,Server listening on <:*:> port <:NUM:>.,Server listening on  port .,False
192,pam <:*:> authentication failure; <:*:> uid=<:NUM:> euid=<:NUM:> <:*:> <:*:> <:*:> <:*:>,pam  authentication failure;  uid= euid=    ,False
193,Failed password for <:*:> from <:IP:> port <:NUM:> ssh2,Failed password for  from  port  ssh2,False
194,root : TTY=pts/<:NUM:> ; <:*:> <:*:> <:*:> ; <:*:> <:*:> <:*:>,root : TTY=pts/ ;    ;   ,False
195,New session <:NUM:> of user <:*:>,New session  of user ,False
196,Session <:NUM:> logged out. Waiting for processes to exit.,Session  logged out. Waiting for processes to exit.,False
197,<:*:> Link UP, Link UP,False
198,tap1: Gained <:*:>,tap1: Gained ,False
199,<:*:> Lost carrier, Lost carrier,False
200,tap2: Gained <:*:>,tap2: Gained ,False
201,tap3: Gained <:*:>,tap3: Gained ,False
202,Initial synchronization to time server <:IP:>:<:NUM:> (ntp.ubuntu.com).,Initial synchronization to time server : (ntp.ubuntu.com).,False
203,Using default interface naming scheme <:*:>,Using default interface naming scheme ,False
204,"ethtool: autonegotiation is unset or enabled, the speed and duplex are not writable.","ethtool: autonegotiation is unset or enabled, the speed and duplex are not writable.",False
205,<:*:> Could not generate persistent MAC: No data available, Could not generate persistent MAC: No data available,False
206,Starting Time & Date Service...,Starting Time & Date Service...,False
207,Started Time & Date Service.,Started Time & Date Service.,False
208,systemd-timedated.service: Succeeded.,systemd-timedated.service: Succeeded.,False
209,Starting <:*:> of <:*:> <:*:>,Starting  of  ,False
210,systemd-tmpfiles-clean.service: Succeeded.,systemd-tmpfiles-clean.service: Succeeded.,False
211,Finished <:*:> of <:*:> <:*:>,Finished  of  ,False
212,Started Session <:NUM:> of <:*:> <:*:>,Started Session  of  ,False
213,Starting Daily apt upgrade and clean activities...,Starting Daily apt upgrade and clean activities...,False
214,Starting <:*:> Daemon...,Starting  Daemon...,False
215,Started <:*:> Daemon.,Started  Daemon.,False
216,Reloading.,Reloading.,False
217,message repeated <:NUM:> times: [ Reloading.],message repeated  times: [ Reloading.],False
218,Condition check resulted in <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> being skipped.,Condition check resulted in         being skipped.,False
219,Condition check resulted in <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> being skipped.,Condition check resulted in        being skipped.,False
220,motd-news.service: Succeeded.,motd-news.service: Succeeded.,False
221,qemu-kvm.service: Succeeded.,qemu-kvm.service: Succeeded.,False
222,"Stopped QEMU KVM preparation - module, ksm, hugepages.","Stopped QEMU KVM preparation - module, ksm, hugepages.",False
223,"Stopping QEMU KVM preparation - module, ksm, hugepages...","Stopping QEMU KVM preparation - module, ksm, hugepages...",False
224,"Starting QEMU KVM preparation - module, ksm, hugepages...","Starting QEMU KVM preparation - module, ksm, hugepages...",False
225,"Finished QEMU KVM preparation - module, ksm, hugepages.","Finished QEMU KVM preparation - module, ksm, hugepages.",False
226,Stopping System Logging Service...,Stopping System Logging Service...,False
227,rsyslog.service: Succeeded.,rsyslog.service: Succeeded.,False
228,Stopped System Logging Service.,Stopped System Logging Service.,False
229,Starting <:*:> <:*:> Service...,Starting   Service...,False
230,Started <:*:> <:*:> Service.,Started   Service.,False
231,Stopping OpenBSD Secure Shell server...,Stopping OpenBSD Secure Shell server...,False
232,ssh.service: Succeeded.,ssh.service: Succeeded.,False
233,Stopped OpenBSD Secure Shell server.,Stopped OpenBSD Secure Shell server.,False
234,Starting OpenBSD Secure Shell server...,Starting OpenBSD Secure Shell server...,False
235,Started OpenBSD Secure Shell server.,Started OpenBSD Secure Shell server.,False
236,Starting Refresh fwupd metadata and update motd...,Starting Refresh fwupd metadata and update motd...,False
237,"fwupd-refresh.service: Main process exited, code=exited, status=<:NUM:>/FAILURE","fwupd-refresh.service: Main process exited, code=exited, status=/FAILURE",False
238,fwupd-refresh.service: Failed with result 'exit-code'.,fwupd-refresh.service: Failed with result 'exit-code'.,False
239,Failed to start Refresh fwupd metadata and update motd.,Failed to start Refresh fwupd metadata and update motd.,False
240,Stopping Accounts Service...,Stopping Accounts Service...,False
241,accounts-daemon.service: Succeeded.,accounts-daemon.service: Succeeded.,False
242,Stopped Accounts Service.,Stopped Accounts Service.,False
243,Starting Accounts Service...,Starting Accounts Service...,False
244,Started Accounts Service.,Started Accounts Service.,False
245,Reached target <:*:> <:*:>,Reached target  ,False
246,snapd.seeded.service: Succeeded.,snapd.seeded.service: Succeeded.,False
247,Stopped Wait until snapd is fully seeded.,Stopped Wait until snapd is fully seeded.,False
248,Stopping Wait until snapd is fully seeded...,Stopping Wait until snapd is fully seeded...,False
249,Stopping Snap Daemon...,Stopping Snap Daemon...,False
250,snapd.service: Succeeded.,snapd.service: Succeeded.,False
251,Stopped Snap Daemon.,Stopped Snap Daemon.,False
252,snapd.socket: Succeeded.,snapd.socket: Succeeded.,False
253,Closed Socket activation for snappy daemon.,Closed Socket activation for snappy daemon.,False
254,Stopping Socket activation for snappy daemon.,Stopping Socket activation for snappy daemon.,False
255,Starting Socket activation for snappy daemon.,Starting Socket activation for snappy daemon.,False
256,Listening on <:*:> <:*:> <:*:> <:*:> daemon.,Listening on     daemon.,False
257,<:*:> Succeeded., Succeeded.,False
258,Starting Daily apt download activities...,Starting Daily apt download activities...,False
259,Starting Wait until snapd is fully seeded...,Starting Wait until snapd is fully seeded...,False
260,Finished Wait until snapd is fully seeded.,Finished Wait until snapd is fully seeded.,False
261,Condition check resulted in <:*:> <:*:> <:*:> <:*:> <:*:> being skipped.,Condition check resulted in      being skipped.,False
262,Stopped Load AppArmor profiles managed internally by snapd.,Stopped Load AppArmor profiles managed internally by snapd.,False
263,Stopping Load AppArmor profiles managed internally by snapd...,Stopping Load AppArmor profiles managed internally by snapd...,False
264,Starting Load AppArmor profiles managed internally by snapd...,Starting Load AppArmor profiles managed internally by snapd...,False
265,Condition check resulted in Auto import assertions from block devices being skipped.,Condition check resulted in Auto import assertions from block devices being skipped.,False
266,Stopped target <:*:> <:*:>,Stopped target  ,False
267,Stopping Mounted snaps.,Stopping Mounted snaps.,False
268,Finished Load AppArmor profiles managed internally by snapd.,Finished Load AppArmor profiles managed internally by snapd.,False
269,Finished Daily apt upgrade and clean activities.,Finished Daily apt upgrade and clean activities.,False
270,Finished Daily apt download activities.,Finished Daily apt download activities.,False
271,CR0=<:HEX:>,CR0=<:HEX:>,False
272,Received disconnect from <:IP:> port <:NUM:>:<:NUM:>: disconnected by user,Received disconnect from  port :: disconnected by user,False
273,Disconnected from user <:*:> <:IP:> port <:NUM:>,Disconnected from user   port ,False
274,Removed session <:NUM:>.,Removed session .,False
275,(root) <:*:> (root),(root)  (root),False
276,[session uid=<:NUM:> pid=<:NUM:>] AppArmor D-Bus mediation is enabled,[session uid= pid=] AppArmor D-Bus mediation is enabled,False
277,"[<:NUM:>.<:NUM:>] perf: interrupt took too long (<:NUM:> > <:NUM:>), lowering kernel.perf event max sample rate to <:NUM:>","[.] perf: interrupt took too long ( > ), lowering kernel.perf event max sample rate to ",True
278,message repeated <:NUM:> times: [cannot connect to <:IP:>:<:NUM:>: Network is unreachable [v8.<:NUM:>.<:NUM:> try https://www.rsyslog.com/e/<:NUM:> ]],message repeated  times: [cannot connect to :: Network is unreachable [v8.. try https://www.rsyslog.com/e/ ]],True
279,Started D-Bus <:*:> Message Bus.,Started D-Bus  Message Bus.,False
280,unknown command <:NUM:>,unknown command ,False
281,(root) CMD ( test -x /etc/cron.daily/popularity-contest && /etc/cron.daily/popularity-contest --crond),(root) CMD ( test -x /etc/cron.daily/popularity-contest && /etc/cron.daily/popularity-contest --crond),False
282,(root) CMD (test -e /run/systemd/system || SERVICE MODE=<:NUM:> <:*:> <:*:> <:*:> <:*:>,(root) CMD (test -e /run/systemd/system || SERVICE MODE=    ,False
283,(root) CMD (test -x /usr/sbin/anacron || ( cd / && run-parts --report <:*:> )),(root) CMD (test -x /usr/sbin/anacron || ( cd / && run-parts --report  )),False
284,"[origin software=""rsyslogd"" swVersion=""<:NUM:>.<:NUM:>.<:NUM:>"" x-pid=""<:NUM:>"" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed","[origin software=""rsyslogd"" swVersion="".."" x-pid="""" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed",False
285,storehelpers.go:<:NUM:>: cannot refresh: snap has no updates available: <:*:> <:*:> <:*:>,storehelpers.go:: cannot refresh: snap has no updates available:   ,False
286,storehelpers.go:<:NUM:>: cannot refresh snap <:*:> snap has no updates available,storehelpers.go:: cannot refresh snap  snap has no updates available,False
287,Connection <:*:> by <:*:> user <:*:> <:IP:> port <:NUM:> [preauth],Connection  by  user   port  [preauth],False
288,Mounting Mount unit for <:*:> revision <:NUM:>...,Mounting Mount unit for  revision ...,False
289,Mounted Mount unit for <:*:> revision <:NUM:>.,Mounted Mount unit for  revision .,False
290,Starting Rotate log files...,Starting Rotate log files...,False
291,Starting Daily man-db regeneration...,Starting Daily man-db regeneration...,False
292,Finished Rotate log files.,Finished Rotate log files.,False
293,Finished Daily man-db regeneration.,Finished Daily man-db regeneration.,False
294,[<:NUM:>.<:NUM:>] <:*:> <:*:> <:*:> <:NUM:> callbacks suppressed,[.]     callbacks suppressed,False
295,"[<:NUM:>.<:NUM:>] audit: type=<:NUM:> audit(<:NUM:>.<:NUM:>:<:NUM:>): apparmor=""STATUS"" operation=""profile replace"" info=""same as current profile, skipping"" profile=""unconfined"" <:*:> pid=<:NUM:> comm=""apparmor parser""","[.] audit: type= audit(.:): apparmor=""STATUS"" operation=""profile replace"" info=""same as current profile, skipping"" profile=""unconfined""  pid= comm=""apparmor parser""",False
296,"[<:NUM:>.<:NUM:>] audit: type=<:NUM:> audit(<:NUM:>.<:NUM:>:<:NUM:>): apparmor=""STATUS"" operation=""profile replace"" profile=""unconfined"" <:*:> pid=<:NUM:> comm=""apparmor parser""","[.] audit: type= audit(.:): apparmor=""STATUS"" operation=""profile replace"" profile=""unconfined""  pid= comm=""apparmor parser""",False
297,=> Starting LXD activation,=> Starting LXD activation,False
298,==> Loading snap configuration,==> Loading snap configuration,False
299,==> Checking for socket activation support,==> Checking for socket activation support,False
300,==> Setting LXD socket ownership,==> Setting LXD socket ownership,False
301,==> Setting LXD user socket ownership,==> Setting LXD user socket ownership,False
302,"==> LXD never started on this system, no need to start it now","==> LXD never started on this system, no need to start it now",False
303,storehelpers.go:<:NUM:>: cannot refresh: snap has no updates available: <:*:> <:*:>,storehelpers.go:: cannot refresh: snap has no updates available:  ,False
304,services.go:<:NUM:>: RemoveSnapServices - <:*:> <:*:>,services.go:: RemoveSnapServices -  ,False
305,(root) CMD ((sleep <:NUM:> ; curl http://<:IP:>:<:NUM:>/notify/Cloudnet2)),(root) CMD ((sleep  ; curl http://:/notify/Cloudnet2)),False
306,(root) CMD (curl http://<:IP:>:<:NUM:>/notify/Cloudnet2),(root) CMD (curl http://:/notify/Cloudnet2),False
307,"(CRON) info (No MTA installed, discarding output)","(CRON) info (No MTA installed, discarding output)",False
308,(root) <:*:> EDIT (root),(root)  EDIT (root),False
309,[ <:NUM:>.<:NUM:>] e1000e: enp1s0 NIC Link is Down,[ .] e1000e: enp1s0 NIC Link is Down,False
310,"[ <:NUM:>.<:NUM:>] e1000e: enp1s0 NIC Link is Up <:NUM:> Mbps Full Duplex, Flow Control: None","[ .] e1000e: enp1s0 NIC Link is Up  Mbps Full Duplex, Flow Control: None",False
311,[ <:NUM:>.<:NUM:>] <:*:> <:*:>,[ .]  ,False
312,[ <:NUM:>.<:NUM:>] FS-Cache: Netfs 'nfs' registered for caching,[ .] FS-Cache: Netfs 'nfs' registered for caching,False
313,[ <:NUM:>.<:NUM:>] NFS: Registering the id resolver key type,[ .] NFS: Registering the id resolver key type,False
314,[ <:NUM:>.<:NUM:>] Key type id <:*:> registered,[ .] Key type id  registered,False
315,"[<:NUM:>.<:NUM:>] br0: received packet on enp1s0 with own address as source address (addr:<:ID:>, vlan:<:NUM:>)","[.] br0: received packet on enp1s0 with own address as source address (addr:, vlan:)",False
316,"[<:NUM:>.<:NUM:>] SGI XFS with ACLs, security attributes, realtime, no debug enabled","[.] SGI XFS with ACLs, security attributes, realtime, no debug enabled",False
317,"[<:NUM:>.<:NUM:>] JFS: nTxBlock = <:NUM:>, nTxLock = <:NUM:>","[.] JFS: nTxBlock = , nTxLock = ",False
318,[<:NUM:>.<:NUM:>] ntfs: driver <:NUM:>.<:NUM:>.<:NUM:> [Flags: R/O MODULE].,[.] ntfs: driver .. [Flags: R/O MODULE].,False
319,[<:NUM:>.<:NUM:>] QNX4 filesystem <:NUM:>.<:NUM:>.<:NUM:> registered.,[.] QNX4 filesystem .. registered.,False
320,"devicemgr.go:<:NUM:>: no NTP sync after 10m0s, trying auto-refresh anyway","devicemgr.go:: no NTP sync after 10m0s, trying auto-refresh anyway",False
321,daemon.go:<:NUM:>: <:*:> waiting for running hooks,daemon.go::  waiting for running hooks,False
322,patch.go:<:NUM:>: Patching system state level <:NUM:> to sublevel <:NUM:>...,patch.go:: Patching system state level  to sublevel ...,False
323,backends.go:<:NUM:>: AppArmor status: apparmor is enabled and all features are available (using snapd provided apparmor parser),backends.go:: AppArmor status: apparmor is enabled and all features are available (using snapd provided apparmor parser),False
324,"stateengine.go:<:NUM:>: state ensure error: Get ""https://api.snapcraft.io/api/v1/snaps/sections"": dial tcp: lookup api.snapcraft.io: no such host","stateengine.go:: state ensure error: Get ""https://api.snapcraft.io/api/v1/snaps/sections"": dial tcp: lookup api.snapcraft.io: no such host",False
325,Exiting on signal <:NUM:>,Exiting on signal ,False
326,Invalid user <:*:> from <:IP:> port <:NUM:>,Invalid user  from  port ,False
327,pam <:*:> check pass; user unknown,pam  check pass; user unknown,False
328,pam <:*:> authentication failure; <:*:> uid=<:NUM:> euid=<:NUM:> <:*:> ruser= <:*:>,pam  authentication failure;  uid= euid=  ruser= ,False
329,Failed <:*:> for invalid user <:*:> from <:IP:> port <:NUM:> ssh2,Failed  for invalid user  from  port  ssh2,False
330,PAM <:NUM:> more authentication failures; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= rhost=<:IP:>,PAM  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=,False
331,(to root) <:*:> on <:*:>,(to root)  on ,False
332,cloudnet : TTY=pts/<:NUM:> ; <:*:> ; USER=root ; COMMAND=/usr/bin/su,cloudnet : TTY=pts/ ;  ; USER=root ; COMMAND=/usr/bin/su,False
333,"root : TTY=pts/<:NUM:> ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86 <:NUM:> -name vm1 -smp <:NUM:> -boot c -m <:NUM:> -vnc :<:NUM:> -drive <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> -cpu host --enable-kvm -qmp unix:/media/qmp1,server,nowait","root : TTY=pts/ ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86  -name vm1 -smp  -boot c -m  -vnc : -drive       -cpu host --enable-kvm -qmp unix:/media/qmp1,server,nowait",False
334,"root : TTY=pts/<:NUM:> ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86 <:NUM:> -name vm1 -smp <:NUM:> -boot c -m <:NUM:> -vnc :<:NUM:> -drive file=vdisk <:*:> -net nic,model=virtio,macaddr=<:ID:> -net <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>","root : TTY=pts/ ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86  -name vm1 -smp  -boot c -m  -vnc : -drive file=vdisk  -net nic,model=virtio,macaddr= -net        ",False
335,"root : TTY=pts/<:NUM:> ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86 <:NUM:> -name vm1 -smp <:NUM:> -boot c -m <:NUM:> -vnc :<:NUM:> -drive file=vdisk qe0.img,if=virtio -net nic,model=virtio,macaddr=<:ID:> -net tap,ifname=tap0,script=no,downscript=no -cpu host --enable-kvm -qmp unix:/media/qmp1,server,nowait hostfwd=tcp::<:NUM:>-:<:NUM:>","root : TTY=pts/ ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86  -name vm1 -smp  -boot c -m  -vnc : -drive file=vdisk qe0.img,if=virtio -net nic,model=virtio,macaddr= -net tap,ifname=tap0,script=no,downscript=no -cpu host --enable-kvm -qmp unix:/media/qmp1,server,nowait hostfwd=tcp::-:",False
336,root : TTY=pts/<:NUM:> ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86 <:NUM:> -name vm1 -smp <:NUM:> -boot c -m <:NUM:> -vnc :<:NUM:> -drive <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,root : TTY=pts/ ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86  -name vm1 -smp  -boot c -m  -vnc : -drive          ,False
337,root : TTY=pts/<:NUM:> ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; <:*:> <:*:> <:*:> <:*:>,root : TTY=pts/ ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ;    ,False
338,root : TTY=pts/<:NUM:> ; <:*:> <:*:> ; USER=root ; <:*:> <:*:> <:*:>,root : TTY=pts/ ;   ; USER=root ;   ,False
339,root : TTY=pts/<:NUM:> ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86 <:NUM:> -name vm1 -smp <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> -net <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,root : TTY=pts/ ; PWD=/var/lib/libvirt/images/walm experiments ; USER=root ; COMMAND=/usr/local/bin/qemu-system-x86  -name vm1 -smp           -net      ,False
340,tap0: Gained <:*:>,tap0: Gained ,False
341,<:*:> Link DOWN, Link DOWN,False
342,"rtnl: received neighbor for link '<:NUM:>' we don't know about, ignoring.","rtnl: received neighbor for link '' we don't know about, ignoring.",False
343,<:*:> Gained carrier, Gained carrier,False
344,Using degraded feature set <:*:> for DNS server <:IP:>.,Using degraded feature set  for DNS server .,False
345,"Grace period over, resuming full feature set (UDP+EDNS0) for DNS server <:IP:>.","Grace period over, resuming full feature set (UDP+EDNS0) for DNS server .",False
346,"No network connectivity, watching for changes.","No network connectivity, watching for changes.",False
347,"Network configuration changed, trying to establish connection.","Network configuration changed, trying to establish connection.",False
348,"snapd.service: Scheduled restart job, restart counter is at <:NUM:>.","snapd.service: Scheduled restart job, restart counter is at .",False
349,Stopping Session <:NUM:> of user <:*:>,Stopping Session  of user ,False
350,Removed slice system-modprobe.slice.,Removed slice system-modprobe.slice.,False
351,Stopped target Host and Network Name Lookups.,Stopped target Host and Network Name Lookups.,False
352,Stopped target <:*:> <:*:> <:*:>,Stopped target   ,False
353,Stopped target <:*:>,Stopped target ,False
354,Stopped Daily apt upgrade and clean activities.,Stopped Daily apt upgrade and clean activities.,False
355,Stopped Daily apt download activities.,Stopped Daily apt download activities.,False
356,e2scrub <:*:> Succeeded.,e2scrub  Succeeded.,False
357,Stopped Periodic ext4 Online Metadata Check for All Filesystems.,Stopped Periodic ext4 Online Metadata Check for All Filesystems.,False
358,Stopped Discard unused blocks once a week.,Stopped Discard unused blocks once a week.,False
359,Stopped Refresh fwupd metadata regularly.,Stopped Refresh fwupd metadata regularly.,False
360,Stopped Daily <:*:> of <:*:> <:*:>,Stopped Daily  of  ,False
361,Stopped Daily man-db regeneration.,Stopped Daily man-db regeneration.,False
362,Stopped Message of the Day.,Stopped Message of the Day.,False
363,Closed <:*:> <:*:> <:*:> socket.,Closed    socket.,False
364,Closed Load/Save RF Kill Switch Status /dev/rfkill Watch.,Closed Load/Save RF Kill Switch Status /dev/rfkill Watch.,False
365,Unmounting RPC Pipe File System...,Unmounting RPC Pipe File System...,False
366,Stopping Availability of block devices...,Stopping Availability of block devices...,False
367,Stopped Execute cloud user/final scripts.,Stopped Execute cloud user/final scripts.,False
368,Stopping LSB: automatic crash report generation...,Stopping LSB: automatic crash report generation...,False
369,run-rpc pipefs.mount: Succeeded.,run-rpc pipefs.mount: Succeeded.,False
370,Stopping Deferred execution scheduler...,Stopping Deferred execution scheduler...,False
